año,carrera,circuito,piloto,equipo,posicion_final,gano,podio,puntos_obtenidos,experiencia_carreras,posicion_parrilla,promedio_posicion_ponderado,promedio_puntos_ponderado,forma_reciente_3_carreras,puntos_ultimas_3,podios_ultimas_5,consistencia_std,tasa_finalizacion,promedio_parrilla,mejora_parrilla_carrera,promedio_posicion_circuito,experiencia_circuito
2021,Spanish Grand Prix,Barcelona,HAM,Mercedes,1.0,1,1,25.0,3,1.0,1.244728471054798,23.531629173671213,1.3333333333333333,69.0,3,0.5773502691896257,1.0,1.6666666666666667,0.3333333333333333,1.244728471054798,0
2021,Monaco Grand Prix,Monte Carlo,HAM,Mercedes,7.0,0,0,7.0,4,7.0,1.1378394130095422,24.172963521942748,1.3333333333333333,69.0,4,0.5,1.0,1.5,0.25,1.1378394130095422,0
2022,Bahrain Grand Prix,Sakhir,HAM,Mercedes,3.0,0,1,15.0,5,5.0,3.667579149447561,16.71032462130364,3.0,57.0,4,2.6076809620810595,1.0,2.6,0.2,1.0,1
2021,Azerbaijan Grand Prix,Baku,HAM,Mercedes,15.0,0,0,0.0,6,2.0,3.2565799485650158,16.560367379423344,3.6666666666666665,47.0,4,2.345207879911715,1.0,3.0,0.5,3.2565799485650158,0
2021,French Grand Prix,Le Castellet,HAM,Mercedes,2.0,0,1,18.0,7,2.0,6.8708658348948495,11.646284676616844,8.333333333333334,22.0,3,5.1869800370506445,1.0,2.857142857142857,-1.4285714285714286,6.8708658348948495,0
2022,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes,10.0,0,0,1.0,8,15.0,5.254038001197833,13.8911924533779,6.666666666666667,33.0,3,4.869731585445518,1.0,2.75,-1.25,5.254038001197833,0
2021,Styrian Grand Prix,Spielberg,HAM,Mercedes,2.0,0,1,19.0,9,2.0,6.339835884000555,10.905420870561986,9.0,19.0,2,4.9749371855331,1.0,4.111111111111111,-0.5555555555555556,6.339835884000555,0
2022,Australian Grand Prix,Melbourne,HAM,Mercedes,4.0,0,0,12.0,10,5.0,5.24659324760993,13.023204279688317,4.666666666666667,38.0,3,4.765617600176404,1.0,3.9,-0.5,5.24659324760993,0
2021,Austrian Grand Prix,Spielberg,HAM,Mercedes,4.0,0,0,12.0,11,4.0,4.9546785561577265,12.938365329164743,5.333333333333333,32.0,2,4.522670168666455,1.0,4.0,-0.36363636363636365,2.0,1
2022,Miami Grand Prix,Miami,HAM,Mercedes,6.0,0,0,8.0,12,6.0,4.757359777307038,12.866653841414665,3.3333333333333335,43.0,2,4.313474308032982,1.0,4.0,-0.3333333333333333,4.757359777307038,0
2021,Hungarian Grand Prix,Budapest,HAM,Mercedes,2.0,0,1,18.0,13,1.0,4.964433541236493,12.111306511258718,4.666666666666667,32.0,1,4.155626399140179,1.0,4.153846153846154,-0.3076923076923077,4.964433541236493,0
2022,Spanish Grand Prix,Barcelona,HAM,Mercedes,5.0,0,0,10.0,14,6.0,4.469056766994982,13.165537710872426,4.0,38.0,2,4.046433784658582,1.0,3.9285714285714284,-0.35714285714285715,1.0,1
2021,Belgian Grand Prix,Spa-Francorchamps,HAM,Mercedes,3.0,0,1,7.5,15,3.0,4.553388297423088,12.732913166472107,4.333333333333333,36.0,1,3.9036002917941333,1.0,4.066666666666666,-0.26666666666666666,4.553388297423088,0
2023,Bahrain Grand Prix,Sakhir,HAM,Mercedes,5.0,0,0,10.0,16,7.0,4.332329854595553,12.04743876423306,3.3333333333333335,35.5,2,3.7859388972001824,1.0,4.0,-0.25,2.0,2
2022,Monaco Grand Prix,Monaco,HAM,Mercedes,8.0,0,0,4.0,17,8.0,4.427324475369978,11.845825442131053,4.333333333333333,27.5,2,3.670229997601529,1.0,4.176470588235294,-0.11764705882352941,4.427324475369978,0
2021,Dutch Grand Prix,Zandvoort,HAM,Mercedes,2.0,0,1,19.0,18,2.0,4.878969869595512,10.92324796690615,5.333333333333333,21.5,2,3.6662210067845384,1.0,4.388888888888889,-0.1111111111111111,4.878969869595512,0
2022,Azerbaijan Grand Prix,Baku,HAM,Mercedes,4.0,0,0,12.0,19,7.0,4.520370404890316,11.976439719748225,5.0,33.0,2,3.608793678345369,1.0,4.2631578947368425,-0.10526315789473684,15.0,1
2023,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes,5.0,0,0,10.0,20,7.0,4.460046629192258,12.020957276023948,4.666666666666667,35.0,2,3.5135077688978096,1.0,4.4,0.05,10.0,1
2021,Russian Grand Prix,Sochi,HAM,Mercedes,1.0,1,1,25.0,21,4.0,4.519035403287398,11.837566986074913,3.6666666666666665,41.0,1,3.4274799850063378,1.0,4.523809523809524,0.14285714285714285,4.519035403287398,0
2023,Australian Grand Prix,Melbourne,HAM,Mercedes,2.0,0,1,18.0,22,3.0,4.152901553086202,13.23812641924413,3.3333333333333335,47.0,2,3.4216651220995034,1.0,4.5,0.2727272727272727,4.0,1
2022,Canadian Grand Prix,Montréal,HAM,Mercedes,3.0,0,1,15.0,23,4.0,3.9476702686985052,13.705664812721794,2.6666666666666665,53.0,3,3.3751006426218004,1.0,4.434782608695652,0.30434782608695654,3.9476702686985052,0
2022,British Grand Prix,Silverstone,HAM,Mercedes,3.0,0,1,16.0,24,5.0,3.869655766319228,13.814254984451052,2.0,58.0,3,3.3089689273728218,1.0,4.416666666666667,0.3333333333333333,3.869655766319228,0
2021,Turkish Grand Prix,Istanbul,HAM,Mercedes,5.0,0,0,10.0,25,11.0,3.802372540802172,13.999996415944555,2.6666666666666665,49.0,4,3.2465366161495854,1.0,4.44,0.4,3.802372540802172,0
2023,Miami Grand Prix,Miami,HAM,Mercedes,6.0,0,0,8.0,26,13.0,3.919583696445632,13.633074197829659,3.6666666666666665,41.0,4,3.186510027262766,1.0,4.6923076923076925,0.6153846153846154,6.0,1
2021,United States Grand Prix,Austin,HAM,Mercedes,2.0,0,1,19.0,27,2.0,4.103302010349609,13.152110483449702,4.666666666666667,34.0,3,3.14647181781196,1.0,5.0,0.8518518518518519,4.103302010349609,0
2022,French Grand Prix,Le Castellet,HAM,Mercedes,2.0,0,1,18.0,28,4.0,3.9340502430735826,13.63741235216029,4.333333333333333,37.0,3,3.1142274641414196,1.0,4.892857142857143,0.8214285714285714,2.0,1
2023,Monaco Grand Prix,Monaco,HAM,Mercedes,4.0,0,0,13.0,29,5.0,3.7874039486996223,13.978173465003833,3.3333333333333335,45.0,3,3.082207001484488,1.0,4.862068965517241,0.8620689655172413,8.0,1
2021,Mexico City Grand Prix,Mexico City,HAM,Mercedes,2.0,0,1,18.0,30,2.0,3.811925360615961,13.89383630614347,2.6666666666666665,50.0,2,3.0285993120753774,1.0,4.866666666666666,0.8666666666666667,3.811925360615961,0
2022,Hungarian Grand Prix,Budapest,HAM,Mercedes,2.0,0,1,19.0,31,7.0,3.684979099449591,14.190542373425737,2.6666666666666665,49.0,3,2.999283068456724,1.0,4.774193548387097,0.8387096774193549,2.0,1
2023,Spanish Grand Prix,Barcelona,HAM,Mercedes,2.0,0,1,18.0,32,4.0,3.573038977107114,14.523308389044692,2.6666666666666665,50.0,4,2.9702829234201396,1.0,4.84375,0.96875,3.0,2
2024,Bahrain Grand Prix,Sakhir,HAM,Mercedes,7.0,0,0,6.0,33,9.0,3.473737928663014,14.748294783716453,2.0,55.0,4,2.941667739719952,1.0,4.818181818181818,1.0,3.0,3
2021,Qatar Grand Prix,Lusail,HAM,Mercedes,1.0,1,1,25.0,34,1.0,3.7221134375594387,14.140120665760001,3.6666666666666665,43.0,3,2.9477022079232094,1.0,4.9411764705882355,1.0294117647058822,3.7221134375594387,0
2023,Canadian Grand Prix,Montréal,HAM,Mercedes,3.0,0,1,15.0,35,3.0,3.5489836223052005,14.845862652942294,3.3333333333333335,49.0,4,2.9454422846324526,1.0,4.828571428571428,1.0,3.0,1
2024,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes,9.0,0,0,2.0,36,8.0,3.5217888711527605,14.83830730626327,3.6666666666666665,46.0,4,2.906342271107344,1.0,4.777777777777778,0.9722222222222222,7.5,2
2022,Belgian Grand Prix,Spa-Francorchamps,HAM,Mercedes,20.0,0,0,0.0,37,4.0,3.868833177262194,14.027217315955694,4.333333333333333,42.0,3,2.9902243128971846,1.0,4.864864864864865,0.918918918918919,3.0,1
2021,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes,1.0,1,1,26.0,38,1.0,4.843458040291642,13.180425869369275,10.666666666666666,17.0,2,3.9347451075217603,0.9736842105263158,4.842105263157895,0.47368421052631576,8.0,3
2023,British Grand Prix,Silverstone,HAM,Mercedes,3.0,0,1,15.0,39,7.0,4.602192837376566,13.948414310659007,10.0,28.0,3,3.9199135191099495,0.9743589743589743,4.743589743589744,0.46153846153846156,3.0,1
2022,Dutch Grand Prix,Zandvoort,HAM,Mercedes,4.0,0,0,12.0,40,4.0,4.500491061987535,14.008916567051518,8.0,41.0,3,3.874638113788243,0.975,4.8,0.55,2.0,1
2024,Australian Grand Prix,Melbourne,HAM,Mercedes,18.0,0,0,0.0,41,11.0,4.465215889705423,13.895698272264411,2.6666666666666665,53.0,2,3.8260978019705534,0.975609756097561,4.780487804878049,0.5365853658536586,3.0,2
2021,Abu Dhabi Grand Prix,Yas Island,HAM,Mercedes,2.0,0,1,18.0,42,2.0,5.1988958254913005,13.137318966653535,8.333333333333334,27.0,2,4.334449958875178,0.9523809523809523,4.928571428571429,0.35714285714285715,5.1988958254913005,0
2023,Hungarian Grand Prix,Budapest,HAM,Mercedes,4.0,0,0,12.0,43,1.0,5.011479932118722,13.409429073091477,8.0,30.0,3,4.300454533137586,0.9534883720930233,4.8604651162790695,0.3488372093023256,2.0,2
2022,Italian Grand Prix,Monza,HAM,Mercedes,5.0,0,0,10.0,44,19.0,4.9462543065543905,13.343290181743162,8.0,30.0,2,4.250854907175786,0.9545454545454546,4.7727272727272725,0.2727272727272727,4.9462543065543905,0
2024,Japanese Grand Prix,Suzuka,HAM,Mercedes,9.0,0,0,2.0,45,7.0,4.938510839018992,13.180458330572938,3.6666666666666665,40.0,1,4.202933078773259,0.9555555555555556,5.088888888888889,0.5777777777777777,4.938510839018992,0
2021,Pre-Season Test,Bahrain,HAM,Mercedes,2.0,0,1,19.0,46,2.0,5.131760544035593,12.631679106400226,6.0,24.0,1,4.20834230161191,0.9565217391304348,5.130434782608695,0.5217391304347826,5.131760544035593,0
2024,Emilia Romagna Grand Prix,Imola,HAM,Mercedes,6.0,0,0,8.0,47,8.0,4.967145255408176,12.959407976467537,5.333333333333333,31.0,2,4.179705162465815,0.9574468085106383,5.0638297872340425,0.5106382978723404,2.0,1
2023,Dutch Grand Prix,Zandvoort,HAM,Mercedes,6.0,0,0,8.0,48,13.0,5.008144512717033,12.732757823919972,5.666666666666667,29.0,1,4.140271002196741,0.9583333333333334,5.125,0.5416666666666666,3.0,2
2022,Singapore Grand Prix,Marina Bay,HAM,Mercedes,9.0,0,0,2.0,49,3.0,5.046257949449702,12.523826342123039,4.666666666666667,35.0,1,4.101911782584901,0.9591836734693877,5.285714285714286,0.673469387755102,5.046257949449702,0
2021,British Grand Prix,Silverstone,HAM,Mercedes,1.0,1,1,25.0,50,2.0,5.219665297491388,12.05494438135192,7.0,18.0,1,4.106987574704301,0.96,5.24,0.54,3.0,2
2022,Japanese Grand Prix,Suzuka,HAM,Mercedes,5.0,0,0,10.0,51,6.0,5.019468464886893,12.65827109643693,5.333333333333333,35.0,2,4.098588948961462,0.9607843137254902,5.176470588235294,0.5490196078431373,9.0,1
2023,Italian Grand Prix,Monza,HAM,Mercedes,6.0,0,0,8.0,52,8.0,5.011783067592275,12.551662400798872,5.0,37.0,1,4.058536615211643,0.9615384615384616,5.1923076923076925,0.5576923076923077,5.0,1
2024,Monaco Grand Prix,Monaco,HAM,Mercedes,7.0,0,0,7.0,53,7.0,5.048340485622587,12.365767502484161,4.0,43.0,1,4.023696139632427,0.9622641509433962,5.245283018867925,0.5849056603773585,6.0,2
2025,Australian Grand Prix,Melbourne,HAM,Ferrari,10.0,0,0,1.0,54,8.0,5.12506291806454,12.150398168713789,6.0,25.0,1,3.998252588270114,0.9629629629629629,5.277777777777778,0.5740740740740741,8.0,3
2022,United States Grand Prix,Austin,HAM,Mercedes,2.0,0,1,18.0,55,3.0,5.321967236410847,11.699066904413348,7.666666666666667,16.0,1,4.024922359499621,0.9636363636363636,5.327272727272727,0.5272727272727272,2.0,1
2023,Singapore Grand Prix,Marina Bay,HAM,Mercedes,3.0,0,1,16.0,56,5.0,5.176691655242144,11.977148460914544,6.333333333333333,26.0,1,4.005677788521506,0.9642857142857143,5.285714285714286,0.5357142857142857,9.0,1
2024,Canadian Grand Prix,Montréal,HAM,Mercedes,4.0,0,0,13.0,57,7.0,5.082214642005939,12.154396980962561,5.0,35.0,2,3.976513126044476,0.9649122807017544,5.280701754385965,0.5614035087719298,3.0,2
2025,Japanese Grand Prix,Suzuka,HAM,Ferrari,7.0,0,0,6.0,58,8.0,5.034095066018743,12.199970637841298,3.0,47.0,2,3.94260854377677,0.9655172413793104,5.310344827586207,0.603448275862069,7.0,2
2021,Italian Grand Prix,Monza,HAM,Mercedes,17.0,0,0,0.0,59,4.0,5.1063629825098715,11.969080571214807,4.666666666666667,35.0,2,3.9198575815920824,0.9661016949152542,5.3559322033898304,0.6101694915254238,5.5,2
2021,São Paulo Grand Prix,São Paulo,HAM,Mercedes,1.0,1,1,25.0,60,10.0,5.557477685409264,11.522938710502771,9.333333333333334,19.0,2,4.196144315755128,0.95,5.333333333333333,0.38333333333333336,5.557477685409264,0
2022,Mexico City Grand Prix,Mexico City,HAM,Mercedes,2.0,0,1,18.0,61,3.0,5.375954669263435,12.048296966408666,8.333333333333334,31.0,2,4.191651864741543,0.9508196721311475,5.409836065573771,0.5245901639344263,2.0,1
2024,Spanish Grand Prix,Barcelona,HAM,Mercedes,3.0,0,1,15.0,62,3.0,5.243510494118576,12.279651601713224,6.666666666666667,43.0,2,4.173269930681581,0.9516129032258065,5.370967741935484,0.532258064516129,2.6666666666666665,3
2023,Japanese Grand Prix,Suzuka,HAM,Mercedes,5.0,0,0,10.0,63,7.0,5.156175671865695,12.386528558748546,2.0,58.0,3,4.145954665956431,0.9523809523809523,5.333333333333333,0.5238095238095238,7.0,3
2025,Bahrain Grand Prix,Sakhir,HAM,Ferrari,5.0,0,0,10.0,64,9.0,5.1463441439594355,12.306764497212168,3.3333333333333335,43.0,3,4.112987559751022,0.953125,5.359375,0.546875,4.0,4
2024,British Grand Prix,Silverstone,HAM,Mercedes,1.0,1,1,25.0,65,2.0,5.137236023546781,12.231702855382013,4.333333333333333,35.0,3,4.080794605880651,0.9538461538461539,5.415384615384616,0.6,2.3333333333333335,3
2023,Mexico City Grand Prix,Mexico City,HAM,Mercedes,2.0,0,1,19.0,66,6.0,4.989274810332546,12.684131171607905,3.6666666666666665,45.0,3,4.076426059337936,0.9545454545454546,5.363636363636363,0.6060606060606061,2.0,2
2025,Saudi Arabian Grand Prix,Jeddah,HAM,Ferrari,7.0,0,0,6.0,67,7.0,4.884520429377404,12.903455076206749,2.6666666666666665,54.0,3,4.059429614170152,0.9552238805970149,5.373134328358209,0.6567164179104478,6.25,4
2022,Abu Dhabi Grand Prix,Yas Island,HAM,Mercedes,18.0,0,0,0.0,68,5.0,4.955186391963025,12.669860335884561,3.3333333333333335,50.0,2,4.038527143964408,0.9558823529411765,5.397058823529412,0.6470588235294118,2.0,1
2024,Hungarian Grand Prix,Budapest,HAM,Mercedes,3.0,0,1,15.0,69,5.0,5.388839792824092,12.249547434419815,9.0,25.0,2,4.314421977408734,0.9420289855072463,5.391304347826087,0.4492753623188406,2.6666666666666665,3
2022,Pre-Season Track Session,Spain,HAM,Mercedes,3.0,0,1,16.0,70,5.0,5.304558295928945,12.346416062774685,9.333333333333334,21.0,3,4.289329048382767,0.9428571428571428,5.385714285714286,0.4714285714285714,5.304558295928945,0
2025,Emilia Romagna Grand Prix,Imola,HAM,Ferrari,4.0,0,0,12.0,71,12.0,5.225165188644017,12.47013197402243,8.0,31.0,3,4.264636295912995,0.9436619718309859,5.380281690140845,0.49295774647887325,4.0,2
2023,Las Vegas Grand Prix,Las Vegas,HAM,Mercedes,7.0,0,0,6.0,72,10.0,5.18226684581544,12.458968784010562,3.3333333333333335,43.0,2,4.235788168505444,0.9444444444444444,5.472222222222222,0.5972222222222222,5.18226684581544,0
2024,Belgian Grand Prix,Spa-Francorchamps,HAM,Mercedes,1.0,1,1,25.0,73,3.0,5.236444477088346,12.259043296526585,4.666666666666667,34.0,2,4.213616761173904,0.9452054794520548,5.534246575342466,0.6301369863013698,11.5,2
2022,Pre-Season Test,Bahrain,HAM,Mercedes,2.0,0,1,18.0,74,3.0,5.10105864457442,12.66109786017283,4.0,43.0,3,4.209195518855956,0.9459459459459459,5.5,0.6486486486486487,2.0,1
2025,Monaco Grand Prix,Monaco,HAM,Ferrari,5.0,0,0,10.0,75,7.0,5.0036345667374995,12.826781871652305,3.3333333333333335,49.0,3,4.193603022021315,0.9466666666666667,5.466666666666667,0.6533333333333333,6.333333333333333,3
2023,Abu Dhabi Grand Prix,Yas Island,HAM,Mercedes,9.0,0,0,2.0,76,11.0,5.00226156908012,12.741354876492734,2.6666666666666665,53.0,2,4.16560688276683,0.9473684210526315,5.4868421052631575,0.6710526315789473,10.0,2
2023,Pre-Season Testing,Sakhir,HAM,Mercedes,3.0,0,1,15.0,77,7.0,5.120634214426877,12.421048129544836,5.333333333333333,30.0,2,4.165493113383897,0.948051948051948,5.558441558441558,0.6883116883116883,4.2,5
2025,Spanish Grand Prix,Barcelona,HAM,Ferrari,6.0,0,0,8.0,78,5.0,5.055793625041159,12.500989012496333,5.666666666666667,27.0,3,4.143769922525763,0.9487179487179487,5.576923076923077,0.7307692307692307,2.75,4
2024,Dutch Grand Prix,Zandvoort,HAM,Mercedes,8.0,0,0,4.0,79,14.0,5.081741114760968,12.372699713525112,6.0,25.0,2,4.119167756418484,0.9493670886075949,5.569620253164557,0.7088607594936709,4.0,3
2022,Emilia Romagna Grand Prix,Imola,HAM,Mercedes,13.0,0,0,0.0,80,14.0,5.164024747010986,12.135521600774188,5.666666666666667,27.0,1,4.108034732945744,0.95,5.675,0.775,4.0,3
2022,Austrian Grand Prix,Spielberg,HAM,Mercedes,3.0,0,1,15.0,81,8.0,5.384533157009574,11.79609191012721,9.0,12.0,1,4.180310993215696,0.9382716049382716,5.777777777777778,0.7777777777777778,3.0,2
2024,Italian Grand Prix,Monza,HAM,Mercedes,5.0,0,0,10.0,82,6.0,5.313435026545458,11.894419937699116,8.0,19.0,2,4.160293228495335,0.9390243902439024,5.804878048780488,0.8292682926829268,9.333333333333334,3
2025,Canadian Grand Prix,Montréal,HAM,Ferrari,6.0,0,0,8.0,83,5.0,5.301372022614496,11.849000453523658,7.0,25.0,1,4.134848637965992,0.9397590361445783,5.807228915662651,0.8313253012048193,3.3333333333333335,3
2023,Azerbaijan Grand Prix,Baku,HAM,Mercedes,6.0,0,0,8.0,84,5.0,5.317397583072239,11.750666095889464,4.666666666666667,33.0,1,4.111383103891561,0.9404761904761905,5.7976190476190474,0.8095238095238095,9.5,2
2022,São Paulo Grand Prix,São Paulo,HAM,Mercedes,2.0,0,1,18.0,85,2.0,5.332752630962477,11.656727836092188,5.666666666666667,26.0,1,4.088310863215481,0.9411764705882353,5.788235294117647,0.788235294117647,1.0,1
2025,Austrian Grand Prix,Spielberg,HAM,Ferrari,4.0,0,0,12.0,86,4.0,5.240288427514626,11.834886253622853,4.666666666666667,34.0,2,4.077045280790271,0.9418604651162791,5.744186046511628,0.7790697674418605,3.0,3
2024,Azerbaijan Grand Prix,Baku,HAM,Mercedes,9.0,0,0,2.0,87,19.0,5.205100355113094,11.845754837579832,4.0,38.0,1,4.054592704509959,0.9425287356321839,5.724137931034483,0.7701149425287356,8.333333333333334,3
2023,Austrian Grand Prix,Spielberg,HAM,Mercedes,8.0,0,0,4.0,88,5.0,5.302500373983972,11.59406851169061,5.0,32.0,1,4.054230088339265,0.9431818181818182,5.875,0.875,3.25,4
