año,carrera,circuito,piloto,equipo,posicion_parrilla,posicion_final,puntos,estado,tiempo,pais,formato
2021,Bahrain Grand Prix,Sakhir,HAM,Mercedes,2.0,1.0,25.0,Finished,0 days 01:32:03.897000,,
2021,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,1.0,2.0,18.0,Finished,0 days 00:00:00.745000,,
2021,Bahrain Grand Prix,Sakhir,BOT,Mercedes,3.0,3.0,16.0,Finished,0 days 00:00:37.383000,,
2021,Bahrain Grand Prix,Sakhir,NOR,McLaren,7.0,4.0,12.0,Finished,0 days 00:00:46.466000,,
2021,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing,0.0,5.0,10.0,Finished,0 days 00:00:52.047000,,
2021,Bahrain Grand Prix,Sakhir,LEC,Ferrari,4.0,6.0,8.0,Finished,0 days 00:00:59.090000,,
2021,Bahrain Grand Prix,Sakhir,RIC,McLaren,6.0,7.0,6.0,Finished,0 days 00:01:06.004000,,
2021,Bahrain Grand Prix,Sakhir,SAI,Ferrari,8.0,8.0,4.0,Finished,0 days 00:01:07.100000,,
2021,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,13.0,9.0,2.0,Finished,0 days 00:01:25.692000,,
2021,Bahrain Grand Prix,Sakhir,STR,Aston Martin,10.0,10.0,1.0,Finished,0 days 00:01:26.713000,,
2021,Bahrain Grand Prix,Sakhir,RAI,Alfa Romeo Racing,14.0,11.0,0.0,Finished,0 days 00:01:28.864000,,
2021,Bahrain Grand Prix,Sakhir,GIO,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,,,
2021,Bahrain Grand Prix,Sakhir,OCO,Alpine,16.0,13.0,0.0,+1 Lap,,,
2021,Bahrain Grand Prix,Sakhir,RUS,Williams,15.0,14.0,0.0,+1 Lap,,,
2021,Bahrain Grand Prix,Sakhir,VET,Aston Martin,20.0,15.0,0.0,+1 Lap,,,
2021,Bahrain Grand Prix,Sakhir,MSC,Haas F1 Team,18.0,16.0,0.0,+1 Lap,,,
2021,Bahrain Grand Prix,Sakhir,GAS,AlphaTauri,5.0,17.0,0.0,Retired,,,
2021,Bahrain Grand Prix,Sakhir,LAT,Williams,17.0,18.0,0.0,Retired,,,
2021,Bahrain Grand Prix,Sakhir,ALO,Alpine,9.0,19.0,0.0,Brakes,,,
2021,Bahrain Grand Prix,Sakhir,MAZ,Haas F1 Team,19.0,20.0,0.0,Accident,,,
2021,Emilia Romagna Grand Prix,Imola,VER,Red Bull Racing,3.0,1.0,25.0,Finished,0 days 02:02:34.598000,,
2021,Emilia Romagna Grand Prix,Imola,HAM,Mercedes,1.0,2.0,19.0,Finished,0 days 00:00:22,,
2021,Emilia Romagna Grand Prix,Imola,NOR,McLaren,7.0,3.0,15.0,Finished,0 days 00:00:23.702000,,
2021,Emilia Romagna Grand Prix,Imola,LEC,Ferrari,4.0,4.0,12.0,Finished,0 days 00:00:25.579000,,
2021,Emilia Romagna Grand Prix,Imola,SAI,Ferrari,11.0,5.0,10.0,Finished,0 days 00:00:27.036000,,
2021,Emilia Romagna Grand Prix,Imola,RIC,McLaren,6.0,6.0,8.0,Finished,0 days 00:00:51.220000,,
2021,Emilia Romagna Grand Prix,Imola,GAS,AlphaTauri,5.0,7.0,6.0,Finished,0 days 00:00:52.818000,,
2021,Emilia Romagna Grand Prix,Imola,STR,Aston Martin,10.0,8.0,4.0,Finished,0 days 00:00:56.909000,,
2021,Emilia Romagna Grand Prix,Imola,OCO,Alpine,9.0,9.0,2.0,Finished,0 days 00:01:05.704000,,
2021,Emilia Romagna Grand Prix,Imola,ALO,Alpine,15.0,10.0,1.0,Finished,0 days 00:01:06.561000,,
2021,Emilia Romagna Grand Prix,Imola,PER,Red Bull Racing,2.0,11.0,0.0,Finished,0 days 00:01:07.151000,,
2021,Emilia Romagna Grand Prix,Imola,TSU,AlphaTauri,20.0,12.0,0.0,Finished,0 days 00:01:13.184000,,
2021,Emilia Romagna Grand Prix,Imola,RAI,Alfa Romeo Racing,16.0,13.0,0.0,Finished,0 days 00:01:34.773000,,
2021,Emilia Romagna Grand Prix,Imola,GIO,Alfa Romeo Racing,17.0,14.0,0.0,+1 Lap,,,
2021,Emilia Romagna Grand Prix,Imola,VET,Aston Martin,0.0,15.0,0.0,Gearbox,,,
2021,Emilia Romagna Grand Prix,Imola,MSC,Haas F1 Team,18.0,16.0,0.0,+2 Laps,,,
2021,Emilia Romagna Grand Prix,Imola,MAZ,Haas F1 Team,19.0,17.0,0.0,+2 Laps,,,
2021,Emilia Romagna Grand Prix,Imola,BOT,Mercedes,8.0,18.0,0.0,Collision,,,
2021,Emilia Romagna Grand Prix,Imola,RUS,Williams,12.0,19.0,0.0,Collision,,,
2021,Emilia Romagna Grand Prix,Imola,LAT,Williams,14.0,20.0,0.0,Collision,,,
2021,Portuguese Grand Prix,Portimão,HAM,Mercedes,2.0,1.0,25.0,Finished,0 days 01:34:31.421000,,
2021,Portuguese Grand Prix,Portimão,VER,Red Bull Racing,3.0,2.0,18.0,Finished,0 days 00:00:29.148000,,
2021,Portuguese Grand Prix,Portimão,BOT,Mercedes,1.0,3.0,16.0,Finished,0 days 00:00:33.530000,,
2021,Portuguese Grand Prix,Portimão,PER,Red Bull Racing,4.0,4.0,12.0,Finished,0 days 00:00:39.735000,,
2021,Portuguese Grand Prix,Portimão,NOR,McLaren,7.0,5.0,10.0,Finished,0 days 00:00:51.369000,,
2021,Portuguese Grand Prix,Portimão,LEC,Ferrari,8.0,6.0,8.0,Finished,0 days 00:00:55.781000,,
2021,Portuguese Grand Prix,Portimão,OCO,Alpine,6.0,7.0,6.0,Finished,0 days 00:01:03.749000,,
2021,Portuguese Grand Prix,Portimão,ALO,Alpine,13.0,8.0,4.0,Finished,0 days 00:00:01.808000,,
2021,Portuguese Grand Prix,Portimão,RIC,McLaren,16.0,9.0,2.0,Finished,0 days 00:01:15.369000,,
2021,Portuguese Grand Prix,Portimão,GAS,AlphaTauri,9.0,10.0,1.0,Finished,0 days 00:01:16.463000,,
2021,Portuguese Grand Prix,Portimão,SAI,Ferrari,5.0,11.0,0.0,Finished,0 days 00:01:18.955000,,
2021,Portuguese Grand Prix,Portimão,GIO,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,,,
2021,Portuguese Grand Prix,Portimão,VET,Aston Martin,10.0,13.0,0.0,+1 Lap,,,
